epoch,acc,loss,lr,val_acc,val_loss
0,0.2856944,2.2644490685689336,1e-04,0.4017832279205322,2.069183826446533
1,0.3823888,1.6215781113949352,1e-04,0.43689051270484924,1.871233344078064
2,0.4238392,1.510506721619026,1e-04,0.46085259318351746,1.6928815841674805
3,0.45180953,1.4396086483856425,1e-04,0.4772917330265045,1.9555187225341797
4,0.47483367,1.3833427621161511,1e-04,0.49540260434150696,1.9200624227523804
5,0.4906127,1.3466776983981854,1e-04,0.4956812560558319,2.009037733078003
6,0.5072625,1.314433041292903,1e-04,0.5065478086471558,2.0258283615112305
7,0.5172942,1.2861750271548804,1e-04,0.5132349133491516,2.0445847511291504
8,0.5275349,1.2631081303872842,1e-04,0.5199219584465027,1.8754007816314697
9,0.53091365,1.2457759282719258,1e-04,0.5190861225128174,2.0014233589172363
10,0.53993523,1.2271623544327754,1e-04,0.5168570876121521,2.091449499130249
11,0.54578704,1.209846588161706,1e-04,0.5238227844238281,1.9483379125595093
12,0.55142987,1.1916935690360582,1e-04,0.522986888885498,1.9873383045196533
13,0.5595458,1.1784740621764822,1e-05,0.523544192314148,2.128784418106079
14,0.56045145,1.1784726039025182,1e-05,0.5249373316764832,2.0549252033233643
15,0.56362116,1.1726841532020154,1e-05,0.5277236104011536,2.0993242263793945
16,0.5624369,1.1812015591779221,1e-05,0.5224296450614929,2.0020084381103516
17,0.562402,1.1725591399036914,1e-05,0.5218724012374878,2.0225157737731934
18,0.564492,1.1703228454629042,1e-05,0.5274449586868286,1.8783586025238037
19,0.5657111,1.1681920481374253,1e-05,0.5241014361381531,2.052931308746338
20,0.5628548,1.1622857261241353,1e-05,0.5271663665771484,1.960524559020996
21,0.5639347,1.1675888014448454,1e-05,0.5277236104011536,2.068265914916992
22,0.5648403,1.1649689065188864,1e-05,0.522986888885498,2.2405731678009033
23,0.5650841,1.164070675185309,1e-06,0.5257731676101685,1.966238021850586
24,0.5662336,1.162688354334864,1e-06,0.5274449586868286,2.0588974952697754
25,0.5682539,1.1628925197737117,1e-06,0.5238227844238281,2.0137343406677246
26,0.563865,1.1662495577653842,1e-06,0.5257731676101685,1.9859838485717773
27,0.567592,1.1603355766517822,1e-06,0.5249373316764832,2.109570026397705
28,0.56578076,1.160175643518986,1e-06,0.5238227844238281,2.134927749633789
29,0.5650493,1.1641460921664801,1e-06,0.5213151574134827,2.114920139312744
30,0.5681145,1.1611046414418655,1e-06,0.5257731676101685,1.9596405029296875
31,0.56842804,1.1639751754313155,1e-06,0.5280022025108337,2.1614737510681152
32,0.5666864,1.1636821823337036,1e-06,0.5249373316764832,1.8848848342895508
33,0.56309867,1.1655367674791532,1e-07,0.5268877148628235,2.0390090942382812
34,0.56522346,1.1646817261540963,1e-07,0.5268877148628235,1.8852459192276
35,0.5665471,1.16580910796286,1e-07,0.5215937495231628,1.935138463973999
