epoch,acc,loss,lr,val_acc,val_loss
0,0.86429346,0.3962658476996037,1e-26,0.668709933757782,1.4243372678756714
1,0.86429346,0.39383694323058693,1e-26,0.6653664112091064,1.0618016719818115
2,0.86025286,0.39957328537439013,1e-26,0.6670381426811218,1.0513116121292114
3,0.8653384,0.39116478533101867,1e-26,0.6636946201324463,1.0618016719818115
4,0.86331815,0.39481934917820605,1e-26,0.6675954461097717,1.0579721927642822
5,0.8594517,0.3963259006498284,1e-26,0.6639732718467712,1.43550705909729
6,0.8635619,0.39581415628127914,1e-26,0.6681526899337769,1.0506319999694824
7,0.86659235,0.39416975784174696,1e-26,0.6639732718467712,1.0513116121292114
8,0.86269116,0.39527215126220233,1e-26,0.6664808988571167,1.432442307472229
9,0.8613675,0.39412013179078537,1e-26,0.6701030731201172,1.4251019954681396
10,0.86443275,0.3941088294673769,1e-26,0.6681526899337769,1.4243372678756714
11,0.8624473,0.3967594660665719,1e-26,0.6689885854721069,1.4361865520477295
12,0.86161137,0.3938948033386157,1e-26,0.6656450033187866,1.0506319999694824
13,0.86021805,0.3955525653776428,1e-26,0.6631373763084412,1.4250168800354004
14,0.8651642,0.388872450874776,1e-26,0.6681526899337769,1.0624812841415405
15,0.8616462,0.39414423190919146,1e-26,0.6709389686584473,1.43550705909729
16,0.8652687,0.39603293121635463,1e-26,0.6653664112091064,1.0507171154022217
17,0.86133265,0.3916264209992219,1e-27,0.6684313416481018,1.43550705909729
18,0.8626215,0.3961023052822747,1e-27,0.6678740382194519,1.4316775798797607
19,0.8626563,0.39545053855483153,1e-27,0.6678740382194519,1.0513967275619507
20,0.8616462,0.3960517736432032,1e-27,0.6631373763084412,1.4243372678756714
21,0.86161137,0.39383230450725626,1e-27,0.6673167943954468,1.0506319999694824
22,0.86342263,0.39628708614833497,1e-27,0.6656450033187866,1.0513116121292114
23,0.86237764,0.3959311384952547,1e-27,0.6664808988571167,1.0507171154022217
24,0.8636316,0.39155340129095306,1e-27,0.6695458292961121,1.4250168800354004
25,0.8602877,0.401256324816466,1e-27,0.6656450033187866,1.0617165565490723
26,0.86185515,0.3991454505630577,1e-27,0.6662023067474365,1.0618016719818115
27,0.86161137,0.3966930838181555,1e-28,0.6684313416481018,1.4435268640518188
28,0.863144,0.39516771552646507,1e-28,0.6631373763084412,1.0691419839859009
29,0.862726,0.39635285273702453,1e-28,0.6662023067474365,1.0624812841415405
30,0.86345744,0.39375050656120913,1e-28,0.6659236550331116,1.0624812841415405
31,0.86377096,0.3911965983909451,1e-28,0.6656450033187866,1.069056749343872
32,0.8636665,0.3953284557105946,1e-28,0.6645305156707764,1.4361865520477295
33,0.86338776,0.39819115340546707,1e-28,0.6659236550331116,1.44344162940979
34,0.86345744,0.39260710881892374,1e-28,0.6678740382194519,1.43550705909729
35,0.86397994,0.3926885739701217,1e-28,0.6701030731201172,1.0507171154022217
36,0.8626563,0.3952512169240132,1e-28,0.6695458292961121,1.4316775798797607
37,0.8620293,0.3946302189398943,1e-29,0.6636946201324463,1.432442307472229
38,0.86387545,0.3943493274184262,1e-29,0.6656450033187866,1.0507171154022217
39,0.86439794,0.3925619396949463,1e-29,0.6675954461097717,1.0507171154022217
40,0.8657912,0.3912493781512955,1e-29,0.6645305156707764,1.432442307472229
41,0.86140233,0.39966990881784364,1e-29,0.6659236550331116,1.4435268640518188
42,0.86596537,0.393543839161652,1e-29,0.6723321080207825,1.4354218244552612
43,0.8636665,0.3947209723255113,1e-29,0.6695458292961121,1.0513967275619507
44,0.86391026,0.39245642520835844,1e-29,0.668709933757782,1.4435268640518188
45,0.8641889,0.39563752145219766,1e-29,0.6662023067474365,1.4435268640518188
46,0.86074054,0.3967761045410124,1e-29,0.6650877594947815,1.0624812841415405
47,0.8607057,0.3962880201956177,1e-30,0.669824481010437,1.4251019954681396
48,0.8640844,0.39357681751869916,1e-30,0.6662023067474365,1.0624812841415405
49,0.861681,0.3965166110610666,1e-30,0.6656450033187866,1.4251019954681396
