epoch,acc,loss,lr,val_acc,val_loss
0,0.8179665,0.5112507408670698,1e-04,0.6609083414077759,1.0918127298355103
1,0.82792854,0.48194400121012243,1e-04,0.6623014807701111,1.0582696199417114
2,0.83587027,0.45903080993165973,1e-04,0.661744236946106,1.4080716371536255
3,0.8413738,0.4489270122986178,1e-04,0.6639732718467712,1.1406924724578857
4,0.8487234,0.4266181543286207,1e-04,0.6659236550331116,1.4512722492218018
5,0.857327,0.4095774970912623,1e-04,0.6653664112091064,1.2519830465316772
6,0.8592776,0.4006349197694129,1e-04,0.6681526899337769,1.1235655546188354
7,0.8685778,0.37560271948348634,1e-04,0.6648091673851013,1.1540032625198364
8,0.8713992,0.3686751766909734,1e-04,0.6712176203727722,1.515052318572998
9,0.8793758,0.3503258123227249,1e-04,0.6653664112091064,1.4860063791275024
10,0.8799331,0.3403627132459255,1e-04,0.6717748641967773,1.5488698482513428
11,0.8844265,0.33625862914224774,1e-04,0.6662023067474365,1.2509777545928955
12,0.8939357,0.30521224721866014,1e-05,0.6714962124824524,1.6794523000717163
13,0.899056,0.2987047631898608,1e-05,0.6667595505714417,1.2698209285736084
14,0.8973841,0.2973845359880688,1e-05,0.6684313416481018,1.2640793323516846
15,0.899683,0.29540460173718885,1e-05,0.6684313416481018,1.2805330753326416
16,0.9027483,0.29091737754025304,1e-05,0.668709933757782,1.6617063283920288
17,0.9021213,0.2918206591326107,1e-05,0.669824481010437,1.2969295978546143
18,0.9016336,0.28743260605979926,1e-05,0.6689885854721069,1.6853523254394531
19,0.9065102,0.2848058406121762,1e-05,0.6703817248344421,1.6810424327850342
20,0.9033056,0.2844793354835027,1e-05,0.6653664112091064,1.7040815353393555
21,0.9049427,0.2793128527982481,1e-05,0.669824481010437,1.6983693838119507
22,0.90515167,0.2802387311078317,1e-06,0.6720535159111023,1.313381552696228
23,0.9043854,0.28582584373882614,1e-06,0.6662023067474365,1.706092119216919
24,0.9062315,0.2769837538417203,1e-06,0.6664808988571167,1.7090981006622314
25,0.9094709,0.27179319866481977,1e-06,0.6712176203727722,1.6980292797088623
26,0.9032708,0.2840832519827726,1e-06,0.6742825508117676,1.3047820329666138
27,0.90560454,0.2780981304761056,1e-06,0.6712176203727722,1.6886812448501587
28,0.90553486,0.28147476533475,1e-06,0.6670381426811218,1.6973661184310913
29,0.9049427,0.27958507444507763,1e-06,0.669824481010437,1.3125241994857788
30,0.90522134,0.2806622684645534,1e-06,0.6701030731201172,1.324761152267456
31,0.906127,0.27879935105030945,1e-06,0.6751184463500977,1.7107772827148438
32,0.9080079,0.27963065213098093,1e-07,0.6731680035591125,1.3060725927352905
33,0.9090181,0.2745458281114103,1e-07,0.6703817248344421,1.3146106004714966
34,0.9076248,0.2773665167751255,1e-07,0.6720535159111023,1.3141467571258545
35,0.9068933,0.2751343953477215,1e-07,0.6706603765487671,1.7017815113067627
36,0.9058135,0.2765901804171725,1e-07,0.6731680035591125,1.3158315420150757
37,0.910063,0.27047899027684835,1e-07,0.6742825508117676,1.6931730508804321
38,0.9075551,0.2784799327483774,1e-07,0.6703817248344421,1.7099100351333618
39,0.9053955,0.2774541035627757,1e-07,0.6742825508117676,1.7098489999771118
40,0.90717196,0.27642885602074047,1e-07,0.6742825508117676,1.7097381353378296
41,0.90769446,0.2726585808009238,1e-07,0.6645305156707764,1.7010934352874756
42,0.90717196,0.2801595193917294,1e-08,0.6751184463500977,1.3055347204208374
43,0.9068585,0.27518082760060825,1e-08,0.6745611429214478,1.3156882524490356
44,0.9052562,0.2798890679770534,1e-08,0.6728894114494324,1.3054593801498413
45,0.90668434,0.2768026131766377,1e-08,0.6689885854721069,1.7016178369522095
46,0.90661466,0.2793908531247911,1e-08,0.6675954461097717,1.3156079053878784
47,0.9095057,0.27235204935761065,1e-08,0.6706603765487671,1.7107881307601929
48,0.9059528,0.27902184915669664,1e-08,0.6737252473831177,1.3064030408859253
49,0.9084956,0.2768899328953989,1e-08,0.6656450033187866,1.6927964687347412
